id,name,time_leave_planned,time_picking_planned
__demo__.template1,1/ EPC,15.00,15.00
__demo__.template2,2/ Pharma Sante (AM),11.45,11.45
__demo__.template2b,2/ Pharma Sante (PM),15.02,15.02
__demo__.template3,3/ Life (AM),11.50,11.50
__demo__.template3b,3/ Life (PM),15.02,15.02
__demo__.template4,4/ Pharma Belgium,15.00,15.00
__demo__.template13,13/ Belmedis,11.55,11.55
__demo__.template13b,13/ Belmedis,15.02,15.02
__demo__.template14,14/ Lloyd Pharma,15.50,15.50
__demo__.template21,21/ Flandre Occ,15.07,15.07
__demo__.template37,37/ Famenne,7.0,7.0
__demo__.template47,47/ Brabant Ouest,7.50,7.50
__demo__.template48,48/ Borinage,8.00,8.00
__demo__.template58,58/ Bruxelles Sud,8.50,8.50
__demo__.template59,59/ Mouscron,9.00,9.00
__demo__.template70,70/ Limbourg,9.50,9.50
__demo__.template80,80/ Liège,10.00,10.00
__demo__.template42,42/ Namur,10.50,10.50
__demo__.template55,55/ Bruxelles,10.50,10.50
