id,bank_acc_number,inbound_payment_method_ids/id,name,update_posted,display_on_footer,show_on_dashboard,type,bank_id/id,default_credit_account_id/id,default_debit_account_id/id,group_invoice_lines,code
__setup__.account_journal_cbc_1,BE20 1960 2447 3256,account.account_payment_method_manual_in,CBC Banque - CC,0,1,1,Bank,__setup__.bank_cbc,__setup__.account_550002,__setup__.account_550002,False,BNK1
__setup__.account_journal_ing_1,BE33 3400 3074 9846,account.account_payment_method_manual_in,ING Belgium - CC,0,1,1,Bank,__setup__.bank_ing,__setup__.account_550003,__setup__.account_550003,False,BNK2
__setup__.account_journal_belfius_1,BE68 5523 2846 0034,account.account_payment_method_manual_in,BELFIUS - CC,0,1,1,Bank,__setup__.bank_belfius,__setup__.account_550004,__setup__.account_550004,False,BNK3
__setup__.account_journal_bnp_1,BE95 0015 9777 0458,account.account_payment_method_manual_in,BNP Paribas - CC,0,1,1,Bank,__setup__.bank_bnp,__setup__.account_550005,__setup__.account_550005,False,BNK4
__setup__.account_journal_ing_2,BE67 3635 5755 1087,account.account_payment_method_manual_in,ING Belgium - CE,0,1,1,Bank,__setup__.bank_ing,__setup__.account_550006,__setup__.account_550006,False,BNK5
__setup__.account_journal_belfius_2,BE40 0910 1943 2563,account.account_payment_method_manual_in,BELFIUS - CE,0,1,1,Bank,__setup__.bank_belfius,__setup__.account_550007,__setup__.account_550007,False,BNK6
__setup__.account_journal_achat_bsd,,,Achat BSD,1,0,1,Purchase,,__setup__.account_440100,__setup__.account_440100,False,BSD
__setup__.account_journal_nc_bsd,,,Note de crédit BSD,1,0,1,Purchase refund,,__setup__.account_440100,__setup__.account_440100,False,NCBSD
__setup__.account_journal_nc_supplier,,,Note de Crédit Fournisseur,1,0,1,Purchase refund,,__setup__.account_440000,__setup__.account_440000,False,NCM
__setup__.account_journal_nc_customer,,,Note de Crédit Client,1,0,1,Sale refund,,__setup__.account_400000,__setup__.account_400000,False,NCV
__setup__.account_journal_nc_cd,,,Note de Crédit sur VD,1,0,1,Sale refund,,__setup__.account_400000,__setup__.account_400000,False,NCVD
__setup__.account_journal_ventes_diverses,,,Ventes Diverses,1,0,1,Sale,,__setup__.account_400000,__setup__.account_400000,False,VD
__setup__.expense_journal,,,Expenses,,,,purchase,,,,,EXP
__setup__.wage_journal,,,Wage,,,,purchase,,,,,WAG
