id,name
__import__.customer_3200,ULG
__import__.customer_5522,VAKGROEP KLEINE HUISDIEREN
__import__.customer_8287,CHIRU - Prof. Dr. Van Ham
__import__.customer_8350,HOSPI - Prof. Dr. Van Ham
__import__.customer_8288,CHIRU - Prof. Dr. Polis
__import__.customer_8351,HOSPI - Prof. Dr. Polis
__import__.customer_8267,LEJEUNE EREZEE
__import__.customer_8268,LEJEUNE SEILLES
__import__.customer_8269,LEJEUNE SERAING
__import__.customer_8270,LEJEUNE MANHAY
__import__.customer_8271,LEJEUNE VERVIERS
__import__.customer_8272,LEJEUNE AMPSIN
__import__.customer_8273,LEJEUNE HAVELANGE1
__import__.customer_8274,LEJEUNE HAVELANGE2
__import__.customer_8275,LEJEUNE OCQUIER
